Vgs (V),Vds (V),Ids (A)
-2.00E-01,-1.86E-05,7.68E-08
-2.00E-01,-5.89E-03,-6.79E-05
-2.00E-01,-2.02E-02,-2.45E-04
-2.00E-01,-3.03E-02,-3.67E-04
-2.00E-01,-4.04E-02,-4.90E-04
-2.00E-01,-5.05E-02,-6.13E-04
-2.00E-01,-6.06E-02,-7.35E-04
-2.00E-01,-7.07E-02,-8.57E-04
-2.00E-01,-8.08E-02,-9.80E-04
-2.00E-01,-9.09E-02,-1.10E-03
-2.00E-01,-1.01E-01,-1.22E-03
-2.00E-01,-1.11E-01,-1.34E-03
-2.00E-01,-1.21E-01,-1.46E-03
-2.00E-01,-1.31E-01,-1.58E-03
-2.00E-01,-1.41E-01,-1.70E-03
-2.00E-01,-1.52E-01,-1.82E-03
-2.00E-01,-1.62E-01,-1.94E-03
-2.00E-01,-1.72E-01,-2.06E-03
-2.00E-01,-1.82E-01,-2.17E-03
-2.00E-01,-1.92E-01,-2.29E-03
-2.00E-01,-2.02E-01,-2.41E-03
-2.00E-01,-2.12E-01,-2.52E-03
-2.00E-01,-2.22E-01,-2.64E-03
-2.00E-01,-2.32E-01,-2.75E-03
-2.00E-01,-2.42E-01,-2.86E-03
-2.00E-01,-2.53E-01,-2.98E-03
-2.00E-01,-2.63E-01,-3.09E-03
-2.00E-01,-2.73E-01,-3.19E-03
-2.00E-01,-2.83E-01,-3.31E-03
-2.00E-01,-2.93E-01,-3.42E-03
-2.00E-01,-3.03E-01,-3.52E-03
-2.00E-01,-3.13E-01,-3.63E-03
-2.00E-01,-3.23E-01,-3.73E-03
-2.00E-01,-3.33E-01,-3.84E-03
-2.00E-01,-3.43E-01,-3.94E-03
-2.00E-01,-3.54E-01,-4.05E-03
-2.00E-01,-3.64E-01,-4.15E-03
-2.00E-01,-3.74E-01,-4.25E-03
-2.00E-01,-3.84E-01,-4.35E-03
-2.00E-01,-3.94E-01,-4.45E-03
-2.00E-01,-4.04E-01,-4.54E-03
-2.00E-01,-4.14E-01,-4.64E-03
-2.00E-01,-4.24E-01,-4.73E-03
-2.00E-01,-4.34E-01,-4.83E-03
-2.00E-01,-4.44E-01,-4.92E-03
-2.00E-01,-4.55E-01,-5.01E-03
-2.00E-01,-4.65E-01,-5.10E-03
-2.00E-01,-4.75E-01,-5.18E-03
-2.00E-01,-4.85E-01,-5.27E-03
-2.00E-01,-4.95E-01,-5.35E-03
-2.00E-01,-5.05E-01,-5.44E-03
-2.00E-01,-5.15E-01,-5.52E-03
-2.00E-01,-5.25E-01,-5.60E-03
-2.00E-01,-5.35E-01,-5.68E-03
-2.00E-01,-5.45E-01,-5.75E-03
-2.00E-01,-5.56E-01,-5.83E-03
-2.00E-01,-5.66E-01,-5.90E-03
-2.00E-01,-5.76E-01,-5.97E-03
-2.00E-01,-5.86E-01,-6.05E-03
-2.00E-01,-5.96E-01,-6.12E-03
-2.00E-01,-6.06E-01,-6.18E-03
-2.00E-01,-6.16E-01,-6.25E-03
-2.00E-01,-6.26E-01,-6.31E-03
-2.00E-01,-6.36E-01,-6.37E-03
-2.00E-01,-6.46E-01,-6.43E-03
-2.00E-01,-6.57E-01,-6.49E-03
-2.00E-01,-6.67E-01,-6.55E-03
-2.00E-01,-6.77E-01,-6.60E-03
-2.00E-01,-6.87E-01,-6.66E-03
-2.00E-01,-6.97E-01,-6.71E-03
-2.00E-01,-7.07E-01,-6.76E-03
-2.00E-01,-7.17E-01,-6.81E-03
-2.00E-01,-7.27E-01,-6.86E-03
-2.00E-01,-7.37E-01,-6.91E-03
-2.00E-01,-7.47E-01,-6.95E-03
-2.00E-01,-7.58E-01,-6.99E-03
-2.00E-01,-7.68E-01,-7.03E-03
-2.00E-01,-7.78E-01,-7.06E-03
-2.00E-01,-7.88E-01,-7.12E-03
-2.00E-01,-7.98E-01,-7.15E-03
-1.00E-01,-7.67E-05,2.14E-07
-1.00E-01,-1.01E-02,-1.12E-04
-1.00E-01,-2.02E-02,-2.27E-04
-1.00E-01,-3.03E-02,-3.43E-04
-9.99E-02,-4.04E-02,-4.59E-04
-1.00E-01,-5.05E-02,-5.76E-04
-1.00E-01,-6.06E-02,-6.92E-04
-1.00E-01,-7.07E-02,-8.08E-04
-1.00E-01,-8.08E-02,-9.23E-04
-1.00E-01,-9.09E-02,-1.04E-03
-1.00E-01,-1.01E-01,-1.15E-03
-1.00E-01,-1.11E-01,-1.27E-03
-1.00E-01,-1.21E-01,-1.38E-03
-1.00E-01,-1.31E-01,-1.49E-03
-1.00E-01,-1.41E-01,-1.60E-03
-1.00E-01,-1.52E-01,-1.71E-03
-1.00E-01,-1.62E-01,-1.82E-03
-1.00E-01,-1.72E-01,-1.93E-03
-1.00E-01,-1.82E-01,-2.04E-03
-1.00E-01,-1.92E-01,-2.14E-03
-1.00E-01,-2.02E-01,-2.25E-03
-1.00E-01,-2.12E-01,-2.35E-03
-1.00E-01,-2.22E-01,-2.46E-03
-1.00E-01,-2.32E-01,-2.56E-03
-1.00E-01,-2.42E-01,-2.66E-03
-1.00E-01,-2.53E-01,-2.76E-03
-1.00E-01,-2.63E-01,-2.86E-03
-1.00E-01,-2.73E-01,-2.96E-03
-1.00E-01,-2.83E-01,-3.06E-03
-1.00E-01,-2.93E-01,-3.15E-03
-1.00E-01,-3.03E-01,-3.25E-03
-1.00E-01,-3.13E-01,-3.34E-03
-1.00E-01,-3.23E-01,-3.43E-03
-1.00E-01,-3.33E-01,-3.52E-03
-1.00E-01,-3.43E-01,-3.61E-03
-1.00E-01,-3.54E-01,-3.70E-03
-1.00E-01,-3.64E-01,-3.79E-03
-1.00E-01,-3.74E-01,-3.88E-03
-1.00E-01,-3.84E-01,-3.96E-03
-1.00E-01,-3.94E-01,-4.04E-03
-1.00E-01,-4.04E-01,-4.12E-03
-1.00E-01,-4.14E-01,-4.20E-03
-1.00E-01,-4.24E-01,-4.28E-03
-1.00E-01,-4.34E-01,-4.36E-03
-1.00E-01,-4.44E-01,-4.43E-03
-1.00E-01,-4.55E-01,-4.51E-03
-1.00E-01,-4.65E-01,-4.58E-03
-1.00E-01,-4.75E-01,-4.65E-03
-1.00E-01,-4.85E-01,-4.71E-03
-1.00E-01,-4.95E-01,-4.77E-03
-1.00E-01,-5.05E-01,-4.84E-03
-1.00E-01,-5.15E-01,-4.91E-03
-1.00E-01,-5.25E-01,-4.97E-03
-1.00E-01,-5.35E-01,-5.03E-03
-1.00E-01,-5.45E-01,-5.09E-03
-1.00E-01,-5.56E-01,-5.14E-03
-1.00E-01,-5.66E-01,-5.20E-03
-1.00E-01,-5.76E-01,-5.25E-03
-1.00E-01,-5.86E-01,-5.30E-03
-1.00E-01,-5.96E-01,-5.34E-03
-1.00E-01,-6.06E-01,-5.40E-03
-1.00E-01,-6.16E-01,-5.45E-03
-1.00E-01,-6.26E-01,-5.49E-03
-1.00E-01,-6.36E-01,-5.54E-03
-1.00E-01,-6.46E-01,-5.58E-03
-1.00E-01,-6.57E-01,-5.62E-03
-1.00E-01,-6.67E-01,-5.66E-03
-1.00E-01,-6.77E-01,-5.70E-03
-1.00E-01,-6.87E-01,-5.74E-03
-1.00E-01,-6.97E-01,-5.76E-03
-1.00E-01,-7.07E-01,-5.81E-03
-1.00E-01,-7.17E-01,-5.84E-03
-1.00E-01,-7.27E-01,-5.87E-03
-1.00E-01,-7.37E-01,-5.90E-03
-1.00E-01,-7.47E-01,-5.93E-03
-1.00E-01,-7.58E-01,-5.96E-03
-1.00E-01,-7.68E-01,-5.99E-03
-1.00E-01,-7.78E-01,-6.02E-03
-1.00E-01,-7.88E-01,-6.04E-03
-1.00E-01,-7.98E-01,-6.05E-03
-1.80E-06,-8.61E-05,1.86E-07
-1.45E-04,-6.38E-03,-6.26E-05
1.91E-05,-2.02E-02,-2.08E-04
4.92E-05,-3.03E-02,-3.14E-04
7.40E-06,-4.04E-02,-4.21E-04
5.04E-05,-5.05E-02,-5.27E-04
3.86E-05,-6.06E-02,-6.32E-04
4.54E-05,-7.07E-02,-7.38E-04
4.50E-05,-8.08E-02,-8.42E-04
4.02E-05,-9.09E-02,-9.45E-04
1.88E-05,-1.01E-01,-1.05E-03
4.53E-05,-1.11E-01,-1.15E-03
4.32E-05,-1.21E-01,-1.25E-03
4.34E-05,-1.31E-01,-1.35E-03
8.60E-06,-1.41E-01,-1.45E-03
4.29E-05,-1.52E-01,-1.55E-03
3.30E-05,-1.62E-01,-1.64E-03
4.23E-05,-1.72E-01,-1.74E-03
4.09E-05,-1.82E-01,-1.83E-03
4.21E-05,-1.92E-01,-1.93E-03
4.09E-05,-2.02E-01,-2.02E-03
4.11E-05,-2.12E-01,-2.11E-03
3.99E-05,-2.22E-01,-2.20E-03
4.30E-05,-2.32E-01,-2.29E-03
6.90E-06,-2.42E-01,-2.37E-03
4.15E-05,-2.53E-01,-2.46E-03
3.75E-05,-2.63E-01,-2.54E-03
4.04E-05,-2.73E-01,-2.62E-03
4.17E-05,-2.83E-01,-2.71E-03
4.07E-05,-2.93E-01,-2.78E-03
3.88E-05,-3.03E-01,-2.86E-03
4.10E-05,-3.13E-01,-2.94E-03
4.03E-05,-3.23E-01,-3.01E-03
4.21E-05,-3.33E-01,-3.09E-03
7.70E-06,-3.43E-01,-3.16E-03
3.81E-05,-3.54E-01,-3.23E-03
3.91E-05,-3.64E-01,-3.30E-03
4.00E-05,-3.74E-01,-3.37E-03
4.36E-05,-3.84E-01,-3.43E-03
3.88E-05,-3.94E-01,-3.50E-03
4.20E-05,-4.04E-01,-3.56E-03
4.15E-05,-4.14E-01,-3.62E-03
3.93E-05,-4.24E-01,-3.68E-03
3.90E-05,-4.34E-01,-3.73E-03
6.20E-06,-4.44E-01,-3.78E-03
4.00E-05,-4.55E-01,-3.84E-03
3.90E-05,-4.65E-01,-3.89E-03
4.14E-05,-4.75E-01,-3.94E-03
3.94E-05,-4.85E-01,-3.99E-03
3.53E-05,-4.95E-01,-4.04E-03
4.10E-05,-5.05E-01,-4.09E-03
4.17E-05,-5.15E-01,-4.13E-03
4.33E-05,-5.25E-01,-4.17E-03
4.08E-05,-5.35E-01,-4.21E-03
4.90E-06,-5.45E-01,-4.25E-03
4.00E-05,-5.56E-01,-4.29E-03
3.89E-05,-5.66E-01,-4.33E-03
3.28E-05,-5.76E-01,-4.37E-03
3.93E-05,-5.86E-01,-4.40E-03
3.87E-05,-5.96E-01,-4.43E-03
3.92E-05,-6.06E-01,-4.46E-03
3.87E-05,-6.16E-01,-4.50E-03
3.65E-05,-6.26E-01,-4.53E-03
4.07E-05,-6.36E-01,-4.56E-03
6.90E-06,-6.46E-01,-4.57E-03
4.08E-05,-6.57E-01,-4.61E-03
3.78E-05,-6.67E-01,-4.64E-03
3.80E-05,-6.77E-01,-4.66E-03
4.51E-05,-6.87E-01,-4.68E-03
3.58E-05,-6.97E-01,-4.70E-03
3.67E-05,-7.07E-01,-4.73E-03
3.84E-05,-7.17E-01,-4.74E-03
3.76E-05,-7.27E-01,-4.76E-03
4.03E-05,-7.37E-01,-4.78E-03
6.50E-06,-7.47E-01,-4.78E-03
4.05E-05,-7.58E-01,-4.81E-03
3.99E-05,-7.68E-01,-4.82E-03
3.47E-05,-7.78E-01,-4.83E-03
4.03E-05,-7.88E-01,-4.84E-03
3.91E-05,-7.98E-01,-4.85E-03
1.00E-01,-2.02E-02,-1.75E-04
1.00E-01,-3.03E-02,-2.65E-04
1.00E-01,-4.04E-02,-3.56E-04
1.00E-01,-5.05E-02,-4.46E-04
1.00E-01,-6.06E-02,-5.36E-04
1.00E-01,-7.07E-02,-6.26E-04
1.00E-01,-8.08E-02,-7.14E-04
1.00E-01,-9.09E-02,-8.01E-04
1.00E-01,-1.01E-01,-8.88E-04
1.00E-01,-1.11E-01,-9.73E-04
1.00E-01,-1.21E-01,-1.06E-03
1.00E-01,-1.31E-01,-1.14E-03
1.00E-01,-1.41E-01,-1.22E-03
1.00E-01,-1.52E-01,-1.30E-03
1.00E-01,-1.62E-01,-1.38E-03
1.00E-01,-1.72E-01,-1.46E-03
1.00E-01,-1.82E-01,-1.54E-03
1.00E-01,-1.92E-01,-1.61E-03
1.00E-01,-2.02E-01,-1.68E-03
1.00E-01,-2.12E-01,-1.76E-03
1.00E-01,-2.22E-01,-1.83E-03
1.00E-01,-2.32E-01,-1.90E-03
1.00E-01,-2.42E-01,-1.96E-03
1.00E-01,-2.53E-01,-2.03E-03
1.00E-01,-2.63E-01,-2.09E-03
1.00E-01,-2.73E-01,-2.16E-03
1.00E-01,-2.83E-01,-2.22E-03
1.00E-01,-2.93E-01,-2.28E-03
1.00E-01,-3.03E-01,-2.34E-03
1.00E-01,-3.13E-01,-2.40E-03
1.00E-01,-3.23E-01,-2.45E-03
1.00E-01,-3.33E-01,-2.51E-03
1.00E-01,-3.43E-01,-2.56E-03
