CaCl2,,,,NH4Cl,,,,NaCl,,,,KCl,,,
Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted
0.5 mM LiCL + 0.1 mM CaCl2,2.41E-01,1.00E-01,2.39E-01,0.5 mM LiCL + 0.1 mM NH4Cl,2.57E-01,1.00E-01,2.54E-01,0.5 mM LiCL + 0.1 mM NaCl,2.51E-01,1.00E-01,2.49E-01,0.5 mM LiCL + 0.1 mM KCl,2.21E-01,1.00E-01,2.15E-01
0.5 mM LiCL + 1 mM CaCl2,2.55E-01,1.50E-01,2.43E-01,0.5 mM LiCL + 1 mM NH4Cl,2.59E-01,1.50E-01,2.56E-01,0.5 mM LiCL + 1 mM NaCl,2.60E-01,1.50E-01,2.52E-01,0.5 mM LiCL + 1 mM KCl,2.13E-01,1.50E-01,2.17E-01
0.5 mM LiCL + 10 mM CaCl2,2.79E-01,1.99E-01,2.45E-01,0.5 mM LiCL + 10 mM NH4Cl,2.79E-01,1.99E-01,2.57E-01,0.5 mM LiCL + 10 mM NaCl,2.85E-01,1.99E-01,2.54E-01,0.5 mM LiCL + 10 mM KCl,2.46E-01,1.99E-01,2.18E-01
,,2.49E-01,2.47E-01,,,2.49E-01,2.58E-01,,,2.49E-01,2.55E-01,,,2.49E-01,2.19E-01
,,2.99E-01,2.48E-01,,,2.99E-01,2.59E-01,,,2.99E-01,2.57E-01,,,2.99E-01,2.20E-01
,,3.49E-01,2.50E-01,,,3.49E-01,2.60E-01,,,3.49E-01,2.58E-01,,,3.49E-01,2.21E-01
,,3.98E-01,2.51E-01,,,3.98E-01,2.61E-01,,,3.98E-01,2.59E-01,,,3.98E-01,2.22E-01
,,4.48E-01,2.52E-01,,,4.48E-01,2.61E-01,,,4.48E-01,2.60E-01,,,4.48E-01,2.22E-01
,,4.98E-01,2.53E-01,,,4.98E-01,2.62E-01,,,4.98E-01,2.60E-01,,,4.98E-01,2.23E-01
,,5.48E-01,2.53E-01,,,5.48E-01,2.62E-01,,,5.48E-01,2.61E-01,,,5.48E-01,2.24E-01
,,5.97E-01,2.54E-01,,,5.97E-01,2.63E-01,,,5.97E-01,2.62E-01,,,5.97E-01,2.24E-01
,,6.47E-01,2.55E-01,,,6.47E-01,2.63E-01,,,6.47E-01,2.62E-01,,,6.47E-01,2.24E-01
,,6.97E-01,2.55E-01,,,6.97E-01,2.63E-01,,,6.97E-01,2.63E-01,,,6.97E-01,2.25E-01
,,7.47E-01,2.56E-01,,,7.47E-01,2.64E-01,,,7.47E-01,2.63E-01,,,7.47E-01,2.25E-01
,,7.96E-01,2.56E-01,,,7.96E-01,2.64E-01,,,7.96E-01,2.64E-01,,,7.96E-01,2.26E-01
,,8.46E-01,2.57E-01,,,8.46E-01,2.64E-01,,,8.46E-01,2.64E-01,,,8.46E-01,2.26E-01
,,8.96E-01,2.57E-01,,,8.96E-01,2.65E-01,,,8.96E-01,2.65E-01,,,8.96E-01,2.26E-01
,,9.46E-01,2.58E-01,,,9.46E-01,2.65E-01,,,9.46E-01,2.65E-01,,,9.46E-01,2.26E-01
,,9.95E-01,2.58E-01,,,9.95E-01,2.65E-01,,,9.95E-01,2.65E-01,,,9.95E-01,2.27E-01
,,1.05E+00,2.59E-01,,,1.05E+00,2.65E-01,,,1.05E+00,2.66E-01,,,1.05E+00,2.27E-01
,,1.09E+00,2.59E-01,,,1.09E+00,2.66E-01,,,1.09E+00,2.66E-01,,,1.09E+00,2.27E-01
,,1.14E+00,2.59E-01,,,1.14E+00,2.66E-01,,,1.14E+00,2.66E-01,,,1.14E+00,2.27E-01
,,1.19E+00,2.60E-01,,,1.19E+00,2.66E-01,,,1.19E+00,2.67E-01,,,1.19E+00,2.28E-01
,,1.24E+00,2.60E-01,,,1.24E+00,2.66E-01,,,1.24E+00,2.67E-01,,,1.24E+00,2.28E-01
,,1.29E+00,2.60E-01,,,1.29E+00,2.66E-01,,,1.29E+00,2.67E-01,,,1.29E+00,2.28E-01
,,1.34E+00,2.61E-01,,,1.34E+00,2.67E-01,,,1.34E+00,2.68E-01,,,1.34E+00,2.28E-01
,,1.39E+00,2.61E-01,,,1.39E+00,2.67E-01,,,1.39E+00,2.68E-01,,,1.39E+00,2.28E-01
,,1.44E+00,2.61E-01,,,1.44E+00,2.67E-01,,,1.44E+00,2.68E-01,,,1.44E+00,2.29E-01
,,1.49E+00,2.62E-01,,,1.49E+00,2.67E-01,,,1.49E+00,2.68E-01,,,1.49E+00,2.29E-01
,,1.54E+00,2.62E-01,,,1.54E+00,2.67E-01,,,1.54E+00,2.69E-01,,,1.54E+00,2.29E-01
,,1.59E+00,2.62E-01,,,1.59E+00,2.67E-01,,,1.59E+00,2.69E-01,,,1.59E+00,2.29E-01
,,1.64E+00,2.62E-01,,,1.64E+00,2.68E-01,,,1.64E+00,2.69E-01,,,1.64E+00,2.29E-01
,,1.69E+00,2.63E-01,,,1.69E+00,2.68E-01,,,1.69E+00,2.69E-01,,,1.69E+00,2.29E-01
,,1.74E+00,2.63E-01,,,1.74E+00,2.68E-01,,,1.74E+00,2.69E-01,,,1.74E+00,2.30E-01
,,1.79E+00,2.63E-01,,,1.79E+00,2.68E-01,,,1.79E+00,2.70E-01,,,1.79E+00,2.30E-01
