Sensor 1,,Sensor 2,,Sensor 3,,Calibration Curve,
Concentration (mM),?I/I0,Concentration (mM),?I/I0,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted
10,0.05823694,10,0.05519617,10,0.05408161,1.00E+01,5.78E-02
5,0.05043507,5,0.05287628,5,0.04767908,9.95E+00,5.78E-02
2,0.04010293,2,0.04666851,2,0.04016699,9.90E+00,5.77E-02
1,0.03338573,1,0.03830535,1,0.03129371,9.85E+00,5.77E-02
0.5,0.02903854,0.5,0.03070672,0.5,0.02329412,9.80E+00,5.76E-02
0.1,0.01224619,0.1,0.00675031,0.1,0.00185182,9.75E+00,5.76E-02
,,,,,,9.70E+00,5.75E-02
,,,,,,9.65E+00,5.75E-02
,,,,,,9.60E+00,5.74E-02
,,,,,,9.55E+00,5.73E-02
,,,,,,9.50E+00,5.73E-02
,,,,,,9.45E+00,5.72E-02
,,,,,,9.40E+00,5.72E-02
,,,,,,9.35E+00,5.71E-02
,,,,,,9.30E+00,5.71E-02
,,,,,,9.25E+00,5.70E-02
,,,,,,9.20E+00,5.70E-02
,,,,,,9.15E+00,5.69E-02
,,,,,,9.10E+00,5.68E-02
,,,,,,9.05E+00,5.68E-02
,,,,,,9.01E+00,5.67E-02
,,,,,,8.96E+00,5.67E-02
,,,,,,8.91E+00,5.66E-02
,,,,,,8.86E+00,5.65E-02
,,,,,,8.81E+00,5.65E-02
,,,,,,8.76E+00,5.64E-02
,,,,,,8.71E+00,5.64E-02
,,,,,,8.66E+00,5.63E-02
,,,,,,8.61E+00,5.62E-02
,,,,,,8.56E+00,5.62E-02
,,,,,,8.51E+00,5.61E-02
,,,,,,8.46E+00,5.61E-02
,,,,,,8.41E+00,5.60E-02
,,,,,,8.36E+00,5.59E-02
,,,,,,8.31E+00,5.59E-02
,,,,,,8.26E+00,5.58E-02
,,,,,,8.21E+00,5.57E-02
,,,,,,8.16E+00,5.57E-02
,,,,,,8.11E+00,5.56E-02
,,,,,,8.06E+00,5.55E-02
,,,,,,8.01E+00,5.55E-02
,,,,,,7.96E+00,5.54E-02
,,,,,,7.91E+00,5.53E-02
